Date,RSI
11/29/2005,56.71790483
11/30/2005,63.97874413
12/1/2005,62.86227977
12/2/2005,64.79194286
12/5/2005,54.55104776
12/6/2005,56.19852475
12/7/2005,53.38464872
12/8/2005,53.96476355
12/9/2005,55.05000363
12/12/2005,51.95147094
12/13/2005,50.62932483
12/14/2005,47.4382507
12/15/2005,45.8958522
12/16/2005,54.3646075
12/19/2005,66.97841922
12/20/2005,68.87067422
12/21/2005,60.19660244
12/22/2005,61.54218042
12/23/2005,74.40644338
12/27/2005,67.8317947
12/28/2005,69.34068091
12/29/2005,58.16150616
12/30/2005,54.56155122
1/3/2006,64.31645835
1/4/2006,66.49231625
1/5/2006,68.20437229
1/6/2006,71.66548828
1/9/2006,69.73047009
1/10/2006,74.9668155
1/11/2006,74.02774522
1/12/2006,70.32476107
1/13/2006,69.29063656
1/17/2006,70.45915851
1/18/2006,59.71437478
1/19/2006,54.40672245
1/20/2006,42.67299822
1/23/2006,53.85507032
1/24/2006,52.45127939
1/25/2006,46.15384809
1/26/2006,44.50417051
1/27/2006,38.57192207
1/30/2006,36.29086614
1/31/2006,37.56366971
2/1/2006,30.39791888
2/2/2006,30.78845573
2/3/2006,27.44698752
2/6/2006,28.47166874
2/7/2006,29.24236864
2/8/2006,31.09176522
2/9/2006,36.56829349
2/10/2006,24.50693499
2/13/2006,12.17253905
2/14/2006,12.94212235
2/15/2006,11.92507161
2/16/2006,26.72083949
2/17/2006,29.19978819
2/21/2006,25.69348086
2/22/2006,32.90304471
2/23/2006,42.04656922
2/24/2006,47.9072037
2/27/2006,52.43138408
2/28/2006,47.77610393
3/1/2006,48.21934586
3/2/2006,57.27451112
3/3/2006,56.51955798
3/6/2006,59.94847348
3/7/2006,59.27973551
3/8/2006,54.6566125
3/9/2006,39.3634489
3/10/2006,36.23227988
3/13/2006,36.78984273
3/14/2006,44.25744448
3/15/2006,35.87717277
3/16/2006,34.41209778
3/17/2006,27.40508554
3/20/2006,42.20758187
3/21/2006,37.39358317
3/22/2006,29.25684268
3/23/2006,29.20818567
3/24/2006,48.86249822
3/27/2006,52.58536021
3/28/2006,61.86406299
3/29/2006,74.7100124
3/30/2006,73.97855218
3/31/2006,74.65997476
4/3/2006,70.60082429
4/4/2006,79.47203128
4/5/2006,84.80491909
4/6/2006,85.12943127
4/7/2006,79.50727137
4/10/2006,88.16130346
4/11/2006,82.57037161
4/12/2006,81.73987833
4/13/2006,70.53774239
4/17/2006,70.79181119
4/18/2006,66.02656483
4/19/2006,60.6534895
4/20/2006,68.75705318
4/21/2006,75.78278951
4/24/2006,76.89538744
4/25/2006,62.25037783
4/26/2006,59.91397078
4/27/2006,54.73616991
4/28/2006,56.50830438
5/1/2006,41.20016429
5/2/2006,42.31643867
5/3/2006,42.35148433
5/4/2006,45.90200772
5/5/2006,42.73782426
5/8/2006,44.37574028
5/9/2006,49.07468558
5/10/2006,43.55011759
5/11/2006,21.22674466
5/12/2006,15.62208068
5/15/2006,20.11491195
5/16/2006,19.27613629
5/17/2006,23.59964017
5/18/2006,23.21731144
5/19/2006,29.24687911
5/22/2006,32.04336752
5/23/2006,36.79872268
5/24/2006,41.0595868
5/25/2006,42.63575903
5/26/2006,41.38550543
5/30/2006,24.8704598
5/31/2006,26.96628747
6/1/2006,46.49375928
6/2/2006,55.03125561
6/5/2006,48.42013377
6/6/2006,64.08438559
6/7/2006,59.01245593
6/8/2006,65.95620899
6/9/2006,60.93563547
6/12/2006,56.63782469
6/13/2006,56.82726466
6/14/2006,52.05014704
6/15/2006,54.91712206
6/16/2006,55.83572357
6/19/2006,61.0565256
6/20/2006,60.3562298
6/21/2006,62.46327797
6/22/2006,63.27163364
6/23/2006,69.70716268
6/26/2006,61.42605314
6/27/2006,63.02519341
6/28/2006,61.10242709
6/29/2006,74.92817105
6/30/2006,81.9441635
7/3/2006,81.59885555
7/5/2006,82.15083388
7/6/2006,80.50021037
7/7/2006,76.94247691
7/10/2006,77.37693792
7/11/2006,81.00838691
7/12/2006,64.36163803
7/13/2006,57.54074137
7/14/2006,48.85329192
7/17/2006,52.91037063
7/18/2006,50.55311781
7/19/2006,44.63397872
7/20/2006,26.90053072
7/21/2006,28.48310394
7/24/2006,25.08487405
7/25/2006,25.16252255
7/26/2006,21.76779828
7/27/2006,21.65104682
7/28/2006,28.69087229
7/31/2006,21.12866847
8/1/2006,19.97985572
8/2/2006,20.02017335
8/3/2006,30.535922
8/4/2006,25.46135394
8/7/2006,31.71085482
8/8/2006,36.69030618
8/9/2006,41.4882746
8/10/2006,36.64145298
8/11/2006,32.62486445
8/14/2006,34.39307849
8/15/2006,46.83349695
8/16/2006,53.53816674
8/17/2006,48.37487822
8/18/2006,47.75934903
8/21/2006,51.33046329
8/22/2006,59.21973306
8/23/2006,48.27099391
8/24/2006,49.89176745
8/25/2006,45.47384866
8/28/2006,49.9557248
8/29/2006,51.84779183
8/30/2006,56.12724496
8/31/2006,60.03604417
9/1/2006,59.33619694
9/5/2006,53.91186467
9/6/2006,40.71079227
9/7/2006,40.98200532
9/8/2006,42.8866285
9/11/2006,58.72525327
9/12/2006,64.88083218
9/13/2006,79.83432563
9/14/2006,76.15423174
9/15/2006,78.94401797
9/18/2006,77.93969401
9/19/2006,67.94685325
9/20/2006,60.93981188
9/21/2006,67.28937463
9/22/2006,64.82922801
9/25/2006,62.3645053
9/26/2006,67.13241508
9/27/2006,65.20981617
9/28/2006,66.01521031
9/29/2006,61.7526851
10/2/2006,56.97164911
10/3/2006,47.75508983
10/4/2006,58.95752398
10/5/2006,51.5218498
10/6/2006,54.31715202
10/9/2006,69.40380581
10/10/2006,74.52444335
10/11/2006,69.35965696
10/12/2006,74.33158348
10/13/2006,74.0115671
10/16/2006,64.52559619
10/17/2006,68.31338559
10/18/2006,66.03469022
10/19/2006,72.320796
10/20/2006,83.36199543
10/23/2006,86.27341131
10/24/2006,78.35419545
10/25/2006,83.69225571
10/26/2006,81.11756167
10/27/2006,71.95819214
10/30/2006,73.94933833
10/31/2006,73.92806361
11/1/2006,67.85205638
11/2/2006,68.61187165
11/3/2006,72.5837203
11/6/2006,74.51459119
11/7/2006,72.58695069
11/8/2006,71.54429556
11/9/2006,57.86980962
11/10/2006,44.18342488
11/13/2006,56.20977175
11/14/2006,52.36261968
11/15/2006,55.86063625
11/16/2006,69.77456517
11/17/2006,70.62756435
11/20/2006,66.24868894
11/21/2006,83.38348098
11/22/2006,80.54841071
11/24/2006,76.14994618
11/27/2006,54.96309967
11/28/2006,60.72196662
11/29/2006,55.92970282
11/30/2006,57.69328503
12/1/2006,54.40729172
12/4/2006,52.42323399
12/5/2006,48.41816456
12/6/2006,47.75704651
12/7/2006,41.0259866
12/8/2006,39.87025235
12/11/2006,41.93032203
12/12/2006,25.31440748
12/13/2006,24.80899136
12/14/2006,30.18016013
12/15/2006,44.3369532
12/18/2006,24.34665673
12/19/2006,34.89245761
12/20/2006,31.30223898
12/21/2006,29.92818473
12/22/2006,24.70178999
12/26/2006,24.44052888
12/27/2006,34.43703567
12/28/2006,34.75086136
12/29/2006,32.21968721
1/3/2007,38.86618211
1/4/2007,50.8515579
1/5/2007,54.65699006
1/8/2007,50.82467998
1/9/2007,52.93388757
1/10/2007,67.75440925
1/11/2007,69.55102342
1/12/2007,76.62537237
1/16/2007,82.89545467
1/17/2007,76.23962839
1/18/2007,67.42180203
1/19/2007,63.85559141
1/22/2007,61.17087418
1/23/2007,61.38845949
1/24/2007,66.66666667
1/25/2007,52.69080613
1/26/2007,54.62219922
1/29/2007,54.76267092
1/30/2007,54.7287058
1/31/2007,56.23963792
2/1/2007,41.52118926
2/2/2007,38.35942112
2/5/2007,33.79888718
2/6/2007,38.46977306
2/7/2007,41.42444658
2/8/2007,40.91259739
2/9/2007,40.82145098
2/12/2007,40.11803424
2/13/2007,26.71554399
2/14/2007,36.4348489
2/15/2007,28.07753829
2/16/2007,36.50734111
2/20/2007,36.7422473
2/21/2007,34.0507514
2/22/2007,45.1351949
2/23/2007,41.70984329
2/26/2007,48.042821
2/27/2007,33.4980526
2/28/2007,34.88677796
3/1/2007,33.28936968
3/2/2007,33.09047213
3/5/2007,37.1174053
3/6/2007,49.06728453
3/7/2007,43.4181804
3/8/2007,45.47768864
3/9/2007,37.50000739
3/12/2007,37.15764854
3/13/2007,28.26114929
3/14/2007,32.69541841
3/15/2007,34.14664903
3/16/2007,34.30248019
3/19/2007,48.8493496
3/20/2007,46.94235995
3/21/2007,55.31696308
3/22/2007,65.74549572
3/23/2007,64.47584659
3/26/2007,56.34688583
3/27/2007,56.86038171
3/28/2007,56.06986822
3/29/2007,56.84084057
3/30/2007,52.88251377
4/2/2007,66.21339782
4/3/2007,71.61689204
4/4/2007,71.90752837
4/5/2007,79.5831448
4/9/2007,71.52235014
4/10/2007,71.87623916
4/11/2007,60.17854381
4/12/2007,57.31469262
4/13/2007,55.95302914
4/16/2007,60.96523098
4/17/2007,60.83567841
4/18/2007,66.11906077
4/19/2007,61.35931442
4/20/2007,71.98910363
4/23/2007,67.61529069
4/24/2007,55.38092893
4/25/2007,57.79819563
4/26/2007,60.20257133
4/27/2007,61.67312254
4/30/2007,54.67614939
5/1/2007,54.24987346
5/2/2007,48.47972217
5/3/2007,55.8516062
5/4/2007,47.05221077
5/7/2007,45.04567501
5/8/2007,41.33051945
5/9/2007,47.65349479
5/10/2007,28.15555704
5/11/2007,37.65012022
5/14/2007,35.24451051
5/15/2007,32.36902231
5/16/2007,43.70870648
5/17/2007,44.04499121
5/18/2007,49.12541417
5/21/2007,51.36753374
5/22/2007,58.32507101
5/23/2007,50.67297419
5/24/2007,53.01520159
5/25/2007,63.87228258
5/29/2007,66.45055998
5/30/2007,70.7420384
5/31/2007,78.62077578
6/1/2007,77.64453103
6/4/2007,86.1798772
6/5/2007,93.0999959
6/6/2007,90.3464916
6/7/2007,87.95178142
6/8/2007,89.01360547
6/11/2007,82.98245523
6/12/2007,72.91896238
6/13/2007,75.36090967
6/14/2007,72.38185595
6/15/2007,69.43527806
6/18/2007,72.19851711
6/19/2007,64.913598
6/20/2007,60.70667307
6/21/2007,61.8250801
6/22/2007,64.40405413
6/25/2007,58.11884957
6/26/2007,60.90035252
6/27/2007,60.05013173
6/28/2007,58.39209177
6/29/2007,60.34987812
7/2/2007,72.87014986
7/3/2007,74.4619956
7/5/2007,80.13048577
7/6/2007,76.36509866
7/9/2007,73.83278308
7/10/2007,75.33604317
7/11/2007,81.8972359
7/12/2007,80.72839072
7/13/2007,79.06334361
7/16/2007,78.31677683
7/17/2007,77.9106952
7/18/2007,75.31084523
7/19/2007,75.92357014
7/20/2007,48.19933095
7/23/2007,37.51569367
7/24/2007,35.28218579
7/25/2007,25.87433332
7/26/2007,26.05975228
7/27/2007,26.87375988
7/30/2007,30.48027962
7/31/2007,26.93697972
8/1/2007,28.91551843
8/2/2007,21.38787675
8/3/2007,18.39677501
8/6/2007,23.23977593
8/7/2007,30.21276131
8/8/2007,37.79560882
8/9/2007,46.45534319
8/10/2007,52.33296213
8/13/2007,51.09970718
8/14/2007,49.18147688
8/15/2007,43.48098552
8/16/2007,37.62305032
8/17/2007,40.72063083
8/20/2007,42.68765482
8/21/2007,46.41765671
8/22/2007,50.93994078
8/23/2007,55.39889537
8/24/2007,53.08948987
8/27/2007,48.19938329
8/28/2007,36.8592363
8/29/2007,48.6626956
8/30/2007,46.87634424
8/31/2007,49.82929559
9/4/2007,60.85531011
9/5/2007,72.29838915
9/6/2007,74.2130424
9/7/2007,65.64066475
9/10/2007,62.84117755
9/11/2007,61.74967343
9/12/2007,58.56101959
9/13/2007,60.59942929
9/14/2007,61.3542356
9/17/2007,59.66912751
9/18/2007,72.08200488
9/19/2007,74.10246637
9/20/2007,77.63103213
9/21/2007,78.60694836
9/24/2007,78.05259579
9/25/2007,77.56218967
9/26/2007,81.30437206
9/27/2007,85.51409868
9/28/2007,91.79733148
10/1/2007,92.76335864
10/2/2007,92.81555701
10/3/2007,92.10974392
10/4/2007,85.22982123
10/5/2007,91.45062619
10/8/2007,91.99141944
10/9/2007,91.4071065
10/10/2007,91.82615087
10/11/2007,87.35214523
10/12/2007,88.39808376
10/15/2007,73.96604484
10/16/2007,71.76522938
10/17/2007,76.03377637
10/18/2007,77.27510914
10/19/2007,75.38384907
10/22/2007,76.20023347
10/23/2007,80.32255813
10/24/2007,83.06798545
10/25/2007,76.85366693
10/26/2007,75.15481284
10/29/2007,74.97460692
10/30/2007,75.97330919
10/31/2007,79.8454681
11/1/2007,75.16051511
11/2/2007,87.48760592
11/5/2007,91.58128153
11/6/2007,91.4948429
11/7/2007,85.02474032
11/8/2007,64.68933465
11/9/2007,53.45964604
11/12/2007,38.96129896
11/13/2007,46.6271996
11/14/2007,44.36179788
11/15/2007,40.7840097
11/16/2007,40.62577896
11/19/2007,35.36480498
11/20/2007,38.11401426
11/21/2007,41.60009114
11/23/2007,43.41278756
11/26/2007,38.46453195
11/27/2007,36.35490634
11/28/2007,42.1715052
11/29/2007,50.70080722
11/30/2007,57.27239389
12/3/2007,63.80330042
12/4/2007,57.70007063
12/5/2007,69.09737551
12/6/2007,77.88417176
12/7/2007,77.09443346
12/10/2007,81.76950105
12/11/2007,67.81041074
12/12/2007,64.88992884
12/13/2007,57.25877571
12/14/2007,60.61110291
12/17/2007,48.27862971
12/18/2007,41.51944328
12/19/2007,41.13929694
12/20/2007,48.61029402
12/21/2007,56.61314278
12/24/2007,57.14037561
12/26/2007,55.51481944
12/27/2007,43.09491741
12/28/2007,44.20873131
12/31/2007,38.18835194
1/2/2008,43.0719185
1/3/2008,43.06624391
1/4/2008,35.07612102
1/7/2008,34.07149518
1/8/2008,34.93538085
1/9/2008,42.90641916
1/10/2008,39.39643875
1/11/2008,31.7121765
1/14/2008,35.63434678
1/15/2008,30.45123503
1/16/2008,22.56402446
1/17/2008,21.92256938
1/18/2008,21.06484374
1/22/2008,20.50222462
1/23/2008,17.64203828
1/24/2008,26.5923417
1/25/2008,29.0781503
1/28/2008,28.72395241
1/29/2008,30.40371532
1/30/2008,22.06486154
1/31/2008,29.11789984
2/1/2008,24.21931484
2/4/2008,17.3004634
2/5/2008,22.43985965
2/6/2008,24.12808265
2/7/2008,27.05639618
2/8/2008,31.01426667
2/11/2008,34.85595728
2/12/2008,41.32521984
2/13/2008,38.03636073
2/14/2008,39.38847117
2/15/2008,41.39777431
2/19/2008,37.65221701
2/20/2008,38.18093935
2/21/2008,30.337944
2/22/2008,46.40893537
2/25/2008,46.04556682
2/26/2008,32.89442975
2/27/2008,38.74191941
2/28/2008,38.4005571
2/29/2008,31.02009405
3/3/2008,25.25082078
3/4/2008,23.5514399
3/5/2008,15.37051185
3/6/2008,13.96510359
3/7/2008,14.64344927
3/10/2008,14.74742148
3/11/2008,28.57229579
3/12/2008,29.85600158
3/13/2008,28.8916184
3/14/2008,32.31776176
3/17/2008,33.33833447
3/18/2008,38.26763557
3/19/2008,35.36592797
3/20/2008,37.07671073
3/24/2008,51.11714898
3/25/2008,51.98331226
3/26/2008,53.27587811
